#,Thermostat,identifier,511893837731,,,,,,,,,,,,,,,,,,
#,Thermostat,name,Thermostat,,,,,,,,,,,,,,,,,,
#,Start,date,2018-11-12,,,,,,,,,,,,,,,,,,
#,End,date,2018-12-12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (F),Upstairs2,
2018-11-12,11:30:00,heat,heatOff,,Home,74,68,67.8,49,39.1,0,0,0,0,,70.6,49,0,66.2,0,
2018-11-12,11:35:00,heat,heatOff,,Home,74,68,67.7,49,39.1,0,0,0,0,,70.5,49,1,66,0,
2018-11-12,11:40:00,heat,heatOff,,Home,74,68,67.9,48,39.1,0,0,0,0,,70.5,48,0,65.8,0,
2018-11-12,11:45:00,heat,heatOff,,Home,74,68,68.1,48,39.1,0,0,0,0,,70.6,48,1,65.8,1,
2018-11-12,11:50:00,heat,heatOff,,Home,74,68,68.1,49,39.1,0,0,0,0,,70.5,49,1,65.8,1,
2018-11-12,11:55:00,heat,heatOff,,Home,74,68,68.2,48,39.1,0,0,0,0,,70.4,48,1,66.1,0,
2018-11-12,12:00:00,heat,heatOff,,Home,74,68,68.3,48,40.4,0,0,0,0,,70.4,48,1,66.2,0,
2018-11-12,12:05:00,heat,heatOff,,Home,74,68,68.3,47,40.4,0,0,0,0,,70.5,47,1,66.2,0,
2018-11-12,12:10:00,heat,heatOff,,Home,74,68,68.4,47,40.4,0,0,0,0,,70.6,47,1,66.2,0,
2018-11-12,12:15:00,heat,heatOff,,Home,74,68,68.4,47,40.4,0,0,0,0,,70.6,47,0,66.3,1,
2018-11-12,12:20:00,heat,heatOff,,Home,74,68,68.4,48,40.4,0,0,0,0,,70.5,48,0,66.3,1,
2018-11-12,12:25:00,heat,heatOff,,Home,74,68,68.2,47,40.4,0,0,0,0,,70.4,47,1,66,0,
2018-11-12,12:30:00,heat,heatOff,,Home,74,68,68,47,40.9,0,0,0,0,,70.3,47,1,65.8,1,
2018-11-12,12:35:00,heat,heatOff,,Home,74,68,67.9,47,40.9,0,0,0,0,,70.2,47,1,65.7,1,
